country,region,bbox
Australia,Queensland,"-29.17062224691915,138.00017337300005,-9.240166924999926,153.5488387380001"
Australia,South Australia,"-38.070570570999905,129.00009199300007,-25.999911390798047,141.00010704970055"
Australia,Tasmania,"-43.641289971999925,143.83716881600003,-39.57146575299993,148.48454837300005"
Australia,Victoria,"-39.14495208099993,140.96708580936252,-33.98645232521466,149.97207507630367"
Australia,Western Australia,"-35.13787200299993,112.91944420700008,-13.72356536299992,129.00011600215169"
Austria,Burgenland,"46.83694743300002,16.002982211759672,48.11272247985852,17.148337850000075"
Austria,Kärnten,"46.37864308700007,12.633833856147533,47.1364771590936,15.105591441791603"
Austria,Niederösterreich,"47.44232412415897,14.427161086215165,49.00977447500007,17.06245242693791"
Austria,Oberösterreich,"47.474208482035806,12.736979207000076,48.766430156000055,14.975396356256795"
Austria,Salzburg,"46.95418854456568,12.081774530270366,48.033244126914894,13.939335564984333"
Austria,Steiermark,"46.614649353000104,13.56519819544036,47.82534983972329,16.147882927754893"
Austria,Tirol,"46.651210429000045,10.081121453792036,47.732023011000095,12.95117882714112"
Austria,Vorarlberg,"46.846751229000105,9.52115482500011,47.58841420500006,10.209278198000078"
Austria,Wien,"48.135253403721606,16.188242222300687,48.3301252297955,16.571371290652507"
Azerbaijan,Abşeron,"39.95301382093106,48.85058963380453,40.63684804889829,49.888304070576396"
Azerbaijan,Ağcabədi,"39.70801585514755,47.0723519224033,40.253718980546466,47.756599562419865"
Azerbaijan,Ağdam,"39.79527151097142,46.69790449359749,40.22183462177037,47.28572391092973"
Azerbaijan,Ağdaş,"40.298419093966004,47.20769249880976,40.78885427510471,47.61872684137063"
Azerbaijan,Ağstafa,"40.94838019700002,45.09783349981615,41.452923075000015,45.770336851864215"
Azerbaijan,Ağsu,"40.27842031474569,48.07962894122261,40.79386688934545,48.65210045836943"
Azerbaijan,Astara,"38.392644755000035,48.53564125500009,38.60249792124205,48.87427819100009"
Azerbaijan,Babək,"38.96845289800008,45.11434974794247,39.59291812800005,45.56050621908673"
Azerbaijan,Bakı,"39.66657135600008,49.29190636558627,40.58746979400007,50.625743035000085"
Azerbaijan,Balakən,"41.55467316313593,46.179537394000135,41.890441590000094,46.71640465694935"
Azerbaijan,Beyləqan,"39.57141074021348,47.43253665484275,40.159487005720734,47.88971805164675"
Azerbaijan,Bərdə,"40.15341502518322,46.969309115922954,40.56258901577041,47.52400394102904"
Azerbaijan,Biləsuvar,"39.300702216534035,47.957708153608394,39.7163615988087,48.778552686956914"
Azerbaijan,Cəbrayıl,"39.158902894000036,46.70348554861914,39.477435615361344,47.26131955175589"
Azerbaijan,Cəlilabad,"38.98573436145159,48.10432946800012,39.419764715868894,48.763773227552406"
Azerbaijan,Culfa,"38.939129903022604,45.467643669819495,39.359142100000085,45.90178842600011"
Azerbaijan,Daşkəsən,"40.26043772400003,45.81915164500009,40.666717026969195,46.22640872628165"
Azerbaijan,Dəvəçi,"40.85505178541155,48.64279870029975,41.36486562814622,49.17164147200003"
Azerbaijan,Füzuli,"39.36638355645596,47.019073521325936,39.738349921211864,47.62498028261393"
Azerbaijan,Gədəbəy,"40.297141013,45.373540080000055,40.823219103478834,45.91257775186176"
Azerbaijan,Gəncə,"40.622597978114186,46.29837073622048,40.724622305075286,46.41179209772713"
Azerbaijan,Goranboy,"40.262994900194485,46.31777265788185,40.965975247559584,46.96212609224534"
Azerbaijan,Göyçay,"40.4416661653612,47.58637739370175,40.67495941784284,48.04795128802152"
Azerbaijan,Hajigabul,"39.81211802792461,48.44007205608051,40.344721177840086,49.3568119647004"
Azerbaijan,İmişli,"39.56652578383785,47.7418201030153,40.13605174429256,48.379403923951884"
Azerbaijan,İsmayıllı,"40.51290212743123,47.732466668102234,41.063126938857124,48.49262698764534"
Azerbaijan,Kangarli,"39.2970073510084,45.05123708493377,39.599702859999994,45.26619102100011"
Azerbaijan,Kəlbəcər,"39.79614787152701,45.57626672400005,40.31505890624351,46.761569859261556"
Azerbaijan,Kürdəmir,"40.030941881162846,47.85116743313051,40.53230662744886,48.465961947785615"
Azerbaijan,Lankaran,"39.438652451949054,45.883187643894644,39.95812978795931,46.73562828981369"
Azerbaijan,Lankaran,"38.581676336993326,48.565594109580445,39.27005809210726,49.23430243860662"
Azerbaijan,Lankaran,"38.726709773137486,48.82629822318444,38.788044442481144,48.863432689128864"
Azerbaijan,Lerik,"38.46915404600013,48.22563499685759,38.93987152804857,48.73044192885192"
Azerbaijan,Masallı,"38.8283537866979,48.47779585139739,39.15401866293092,48.91822350400008"
Azerbaijan,Mingəçevir,"40.725318102448455,46.920578241092926,40.78053436896596,47.04868411607907"
Azerbaijan,Naftalan,"40.495617967095484,46.81161126934455,40.520158073536265,46.84088739094034"
Azerbaijan,Naxçıvan,"39.180296129163025,45.311529167836795,39.245020860224486,45.530895624333596"
Azerbaijan,Neftçala,"39.12846466711068,48.70796268093295,39.548180650116876,49.408946160000085"
Azerbaijan,Oğuz,"40.79559804921058,47.27022098201269,41.26178943800001,47.70042727969519"
Azerbaijan,Ordubad,"38.862667745000024,45.718946161036456,39.29412397600005,46.135870809000096"
Azerbaijan,Qax,"40.910939846396786,46.615538649588984,41.56991851800011,47.179218783819806"
Azerbaijan,Qazax,"40.96799143500006,44.960697062000065,41.349918809405494,45.39875898613826"
Azerbaijan,Qəbələ,"40.63945770880622,47.52560590968494,41.20713402101825,48.03110477106833"
Azerbaijan,Qobustan,"40.291520291128506,48.661557245170684,40.761698309729184,49.26312259313312"
Azerbaijan,Quba,"40.89507518227384,47.9264599950327,41.48348887790934,48.74723676896167"
Azerbaijan,Qubadli,"39.1285938583199,46.360869995000144,39.48508372703236,46.82290978405928"
Azerbaijan,Qusar,"41.15769481136641,47.813491036582036,41.72272492151791,48.57546430843104"
Azerbaijan,Saatlı,"39.61476573315207,48.214659458367294,39.999884344686734,48.703621861159945"
Azerbaijan,Sabirabad,"39.59213145650148,48.24964440256707,40.13778290505701,48.99316491073199"
Azerbaijan,Şahbuz,"39.28597443307359,45.35705610535496,39.569782206000056,45.80307458500005"
Azerbaijan,Salyan,"39.34901968021404,48.74031212680319,39.918571479090474,49.35873457100007"
Azerbaijan,Şamaxı,"40.268007514435226,48.38922244595909,40.948456936138655,48.808059929821866"
Azerbaijan,Samux,"40.681754868792154,46.08760799100014,41.20017364500005,46.75970950728788"
Azerbaijan,Sədərək,"39.63054002620123,44.77455855300013,39.735965352000036,44.95335981610259"
Azerbaijan,Şəki,"40.75570384445683,46.80678673661856,41.4916795919396,47.56984093601034"
Azerbaijan,Şəki,"41.155475315133685,47.147984081799905,41.24154434429602,47.219423814057734"
Azerbaijan,Şəmkir,"40.55718882880137,45.72184004088513,41.13666250337184,46.310434604573345"
Azerbaijan,Şərur,"39.38709262798252,44.82395307267615,39.77039011600006,45.16791955500008"
Azerbaijan,Shirvan,"39.903352770114225,48.87004649504968,39.985188072571475,48.9614967885459"
Azerbaijan,Siyəzən,"40.86921112719176,48.82320112533165,41.18619436297945,49.37142087517626"
Azerbaijan,Stepanakert,"39.800077129156136,46.741085646685235,39.86335978832358,46.80501404696065"
Azerbaijan,Sumqayıt,"40.53995473911988,49.48269575430561,40.66286855700008,49.70971868064647"
Azerbaijan,Şuşa,"39.5887983261818,46.52659712106026,39.78271442742886,46.790164276759924"
Azerbaijan,Şuşa,"39.745132746578975,46.7329977764262,39.77182257984816,46.77693129064653"
Azerbaijan,Tərtər,"40.03298310028981,46.49941531816239,40.48001007740311,47.08630455860845"
Azerbaijan,Tovuz,"40.59493846343929,45.44284278300012,41.23210190348004,46.20465294787522"
Azerbaijan,Ucar,"40.2921662462752,47.46545454329254,40.53483877209163,47.99260582939547"
Azerbaijan,Xaçmaz,"41.34851003670883,48.46221094477926,41.84528229400007,49.0786976138348"
Azerbaijan,Xanlar,"40.27617239004377,46.07897586384502,40.832856757433376,46.51093916161301"
Azerbaijan,Xizı,"40.505615750066795,48.769147576999046,40.97615550387337,49.53882897200003"
Azerbaijan,Xocalı,"39.62693553354802,46.43714521737786,40.01815196404186,46.923627149673166"
Azerbaijan,Xocavənd,"39.37790680635402,46.64069868299782,39.882966417266346,47.339364048112316"
Azerbaijan,Yardımlı,"38.71319325416533,47.99074467000008,39.02996938687767,48.54761071106543"
Azerbaijan,Yevlakh,"40.5698336511021,47.09305518644766,40.64016347876151,47.19434655065277"
